time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451650000	8.17137	20.5469	4.85045	3.46371	0.486182	radar	0.14343	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93248	20.4668	4.86128	3.48733	0.484919	lidar	0.129732	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71606	20.3795	4.85885	3.52369	0.516205	radar	3.55305	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.42647	20.32	4.92354	3.52841	0.488904	lidar	3.74911	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.1978	20.2221	4.92482	3.55208	0.485417	radar	0.222988	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.93891	20.1406	4.95738	3.56402	0.469639	lidar	0.997267	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.71506	20.0481	4.95132	3.58034	0.45693	radar	0.388546	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.4678	19.9589	4.97253	3.59232	0.443395	lidar	0.538913	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.25126	19.8642	4.96327	3.61045	0.441143	radar	2.70291	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.99215	19.773	4.99731	3.61714	0.421923	lidar	1.19721	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.7734	19.6241	5.01631	3.66284	0.470035	radar	2.26169	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.58143	19.5038	4.98955	3.68806	0.47309	lidar	0.899279	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.38215	19.3533	4.98646	3.72363	0.49164	radar	1.69143	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.16259	19.2535	4.98506	3.731	0.471613	lidar	1.86639	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.96323	19.1423	4.95768	3.73603	0.435816	radar	4.46594	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78956	18.9909	4.93229	3.76818	0.449124	lidar	0.60531	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.58553	18.8404	4.94649	3.79642	0.465004	radar	1.49017	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.40058	18.7084	4.92816	3.81447	0.459622	lidar	1.04925	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.21062	18.5674	4.91011	3.82366	0.429336	radar	1.39785	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
